Letter,Initial_ROM,Final_ROM,Initial_IPA,Final_IPA,Tone Class,,,,,,,,,,,,,,
ກ,k,k,k,k,M,,,,,,,,,,,,,,
ຂ,k',0,kʰ,0,H,,,,,,,,,,,,,,
ຄ,k',0,kʰ,0,L,,ກ,,,,,,,,,,,,
ງ,ng,ng,ŋ,ŋ,L,,ດ,,,,,,,,,,,,
ຈ,ch,0,tɕ,0,M,,ບ,,,,,,,,,,,,
ສ,s,0,s,0,H,,,,,,,,,,,,,,
ຊ,s,0,s,0,L,,,,ໍາ,,,,,,,,,,
ຍ,ny,y,ɲ,j,L,,,,,,,,,,,,,,
ດ,d,t,d,t,M,,,,,2,,,,,,,,,
ຕ,t,0,t,0,M,,,,ຳ,,,,,,,,,,
ຖ,t',0,tʰ,0,H,,,,,,,,,,,,,,
ທ,t',0,tʰ,0,L,,,,,2,,,,,,,,,
ນ,n,n,n,n,L,,,,,1,,,,,,,,,
ບ,b,p,b,p,M,,,,,,,,,,,,,,
ປ,p,0,p,0,M,,,,,,,,,,,,,,
ຜ,p',0,pʰ,0,H,,,,,,,,,,,,,,
ຝ,f,0,f,0,H,,,,,,,,,,,,,,
ພ,p',0,pʰ,0,L,,,,,,,,,,,,,,
ຟ,f,0,f,0,L,,,,,,,,,,,,,,
ມ,m,m,m,m,L,,,,,,,,,,,,,,
ຢ,y,0,j,0,M,,,,,,,,,,,,,,
ຣ,r,n,r,n,L,,,,,,,,,,,,,,
ລ,l,0,l,0,L,,,,,,,,,,,,,,
ວ,v,w,w,w,L,,,,,,,,,,,,,,
ຫ,h,0,0,0,H,,,,,,,,,,,,,,
ອ,x,0,0,0,M,,,,,,,,,,,,,,
ຮ,h,0,0,0,L,,,,,,,,,,,,,,
ຫງ,ng,0,ŋ,0,H,,,,,,,,,,,,,,
ຫຍ,ny,0,ɲ,0,H,,,,,,,,,,,,,,
ໜ,n,0,n,0,H,,,,,,,,,,,,,,
ຫນ,n,0,n,0,H,,,,,,,,,,,,,,
ໝ,m,0,m,0,H,,,,,,,,,,,,,,
ຫມ,m,0,m,0,H,,,,,,,,1,2,3,4,5,6,7
ຫຼ,l,0,l,0,H,,,,,,,ເດັກ,ເ,ດ,ັ,ກ,,,
ຫລ,l,0,l,0,H,,,,,,,,éé,d,a,k,#N/A,#N/A,#N/A
ຫວ,v,0,w,0,H,,,,,,,,,,,,,,
ະ,ah,0,aʔ,aʔ,0,,,,,,,,,,,,,,
ັ,a,0,a,a,0,,,,,,,,,,,,,,
າ,aa,0,a:,a:,0,,,,,,,,,,,,,,
ິ,i,0,i,i,0,,,,,,,,,,,,,,
ີ,ii,0,i:,i:,0,,,,,,,,,,,,,,
ຶ,ú,0,ɯ,ɯ,0,,,,,,,,,,,,,,
ື,úú,0,ɯ:,ɯ:,0,,,,,,,,,,,,,,
ຸ,u,0,u,u,0,,,,,,,,,,,,,,
ູ,uu,0,u:,u:,0,,,,,,,,,,,,,,
ເະ,éh,0,eʔ,eʔ,0,,,,,,,,,,,,,,
ເັ,é,0,e,e,0,,,,,,,,,,,,,,
ເ,éé,0,e:,e:,0,,,,,,,,,,,,,,
ແະ,èh,0,ɛʔ,ɛʔ,0,,,,,,,,,,,,,,
ແັ,è,0,ɛ,ɛ,0,,,,,,,,,,,,,,
ແ,èè,0,ɛ:,ɛ:,0,,,,,,,,,,,,,,
ໂະ,oh,0,oʔ,oʔ,0,,,,,,,,,,,,,,
ົ,o,0,o,o,0,,,,,,,,,,,,,,
ໂ,oo,0,o:,o:,0,,,,,,,,,,,,,,
ເາະ,òh,0,ɔʔ,ɔʔ,0,,,,,,,,,,,,,,
ັອ,ò,0,ɔ,ɔ,0,,,,,,,,,,,,,,
ໍ,òò,0,ɔ:,ɔ:,0,,,,,,,,,,,,,,
ເິ,ù,0,ɤ,ɤ,0,,,,,,,,,,,,,,
ເີ,ùù,0,ɤ:,ɤ:,0,,,,,,,,,,,,,,
ເັຍ,ia,0,iə,iə,0,,,,,,,,,,,,,,
ັຽ,ia,0,iə,iə,0,,,,,,,,,,,,,,
ເຍ,iia,0,i:ə,i:ə,0,,,,,,,,,,,,,,
ຽ,iia,0,i:ə,i:ə,0,,,,,,,,,,,,,,
ເຶອ,úa,0,ɯə,ɯə,0,,ໍາ,,,,,,,,,,,,
ເືອ,úúa,0,ɯ:ə,ɯ:ə,0,,,,,,,,,,,,,,
ົວະ,ua,0,uə,uə,0,,,,,,,,,,,,,,
ົວ,ua,0,uə,uə,0,,,,,,,,,,,,,,
ົວ,uua,0,u:ə,u:ə,0,,,,,,,,,,,,,,
ໄ,ai,0,aj,aj,0,,,,,,,,,,,,,,
ໃ,ai,0,aj,aj,0,,,,,,,,,,,,,,
ັຍ,aai,0,a:j,a:j,0,,,,,,,,,,,,,,
ເົາ,ao,0,aw,aw,0,,,,,,,,,,,,,,
ຳ,am,0,am,am,0,,,,,,,,,,,,,,
ໍາ,am,0,am,am,0,,,,,,,,,,,,,,
່,0,0,0,0,1,,,,,,,,,,,,,,
້,0,0,0,0,2,,,,,,,,,,,,,,
໊,0,0,0,0,3,,,,,,,,,,,,,,
໋,0,0,0,0,4,,,,,,,,,,,,,,
າວ,aaw,0,0,a:w,0,,,,,,,,,,,,,,
ເວ,ééw,0,0,e:w,0,,,,,,,,,,,,,,
ແວ,èèw,0,0,ɛ:w,0,,,,,,,,,,,,,,
ິວ,iw,0,0,iw,0,,,,,,,,,,,,,,
ຽວ,iaw,0,0,iaw,0,,,,,,,,,,,,,,
