Lao,Romanization,IPA,LOC,Tone Class,Type,
ກ,k̯,k,k,Mid,con,
ຂ,kʰ,kʰ,kh,High,con,
ຄ,ḵʰ,kʰ,kh,Low,con,
ງ,ŋ̱,ŋ,ng,Low,con,
ຈ,ʨ̯,t͡ɕ,ch,Mid,con,
ຍ,ɲ̱,ɲ,ny,Low,con,
ຕ,t̯,t,t,mid,con,
ຖ,tʰ,tʰ,th,high,con,
ທ,ṯʰ,tʰ,th,low,con,
ນ,ṉ,n,n,low,con,
ປ,p̯,p,p,mid,con,
ຜ,pʰ,pʰ,ph,high,con,
ພ,p̱ʰ,pʰ,ph,low,con,
ບ,b̯,b,b,mid,con,
ມ,m̱,m,m,low,con,
ລ,ḻ,l,l,low,con,
ຢ,j,y̯,y,mid,con,
ຣ,ṟ,r,r,low,con,
ວ,w̱,ʋ,w,low,con,
ຫ,h,h,h,high,con,
ຮ,ẖ,h,h,high,con,
ສ,s,s,s,high,con,
ຊ,s̱,s,x,low,con,
ຝ,f,f,f,high,con,
ຟ,f̱,f,f,low,con,
ອ,ʔ,ʔ,-,mid,con,
ເ,ē,eː,ē,,vow,pre
ແ,ɛ̄,ɛː,ǣ,,vow,pre
ໂ,ō,oː,ō,,vow,pre
ໃ,äʲ,aj,ai,,vow,pre
ໄ,aʲ,aj,ai,,vow,pre
ະ,a,a,a,,vow,
ັ,a,ä,a,,vow,
າ,ā,aː,ā,,vow,
ຳ,aᵐ,am,am,,vow,
ິ,i,i,i,,vow,
ີ,ī,iː ,ī,,vow,
ຶ,ɯ,ɯ,ư,,vow,
ື,ɯ̄,ɯː,ư̄,,vow,
ຸ,u,u,u,,vow,
ູ,ū,uː,ū,,vow,
ົ,o,o,o,,vow,
ໍ,ɔ̄,ɔː,ǭ,,vow,
ຽ,iᵊ,iːə̯,īa,,vow,
ຼ,l,l̆,l,,vow,
ໆ,,,,,rep,
່,1,1,1,,ton,
້,2,2,2,,ton,
໊,3,3,3,,ton,
໋,4,4,4,,ton,
ໜ,n,n,n,,con,
ໝ,m,m,m,,con,
